,state,zipcode,1,2,3,4,5,6,wealth,all,wealthy_prop,latitude,longitude
4371,FL,34141,30.0,60.0,0.0,0.0,330.0,30.0,360.0,450.0,0.8,25.8734,-81.1599
23652,TX,77010,30.0,20.0,30.0,0.0,60.0,170.0,230.0,310.0,0.74,29.7543,-95.3609
25848,WA,98164,0.0,30.0,0.0,0.0,40.0,40.0,80.0,110.0,0.73,47.606,-122.332
16889,NY,10282,200.0,100.0,130.0,110.0,340.0,1140.0,1480.0,2020.0,0.73,40.7166,-74.0146
2252,CA,94105,740.0,680.0,570.0,630.0,2350.0,2920.0,5270.0,7890.0,0.67,37.7864,-122.3892
16887,NY,10162,80.0,40.0,70.0,50.0,180.0,300.0,480.0,720.0,0.67,40.7699,-73.9511
4021,FL,33109,30.0,40.0,0.0,20.0,0.0,180.0,180.0,270.0,0.67,25.7588,-80.1376
2229,CA,94028,510.0,230.0,190.0,170.0,560.0,1720.0,2280.0,3380.0,0.67,37.3702,-122.2182
2225,CA,94022,1620.0,720.0,640.0,540.0,1710.0,4750.0,6460.0,9980.0,0.65,37.3814,-122.1258
4391,FL,34228,410.0,300.0,290.0,260.0,830.0,1550.0,2380.0,3640.0,0.65,27.4125,-82.659
16851,NY,10007,440.0,280.0,300.0,260.0,640.0,1620.0,2260.0,3540.0,0.64,40.7139,-74.007
2226,CA,94024,1910.0,780.0,710.0,610.0,1870.0,5340.0,7210.0,11220.0,0.64,37.3547,-122.0862
16068,NJ,7311,50.0,50.0,100.0,110.0,300.0,250.0,550.0,860.0,0.64,,
10259,MA,2468,530.0,170.0,120.0,110.0,370.0,1290.0,1660.0,2590.0,0.64,,
15256,ND,58847,0.0,40.0,0.0,0.0,30.0,40.0,70.0,110.0,0.64,47.9405,-102.8906
10167,MA,2110,290.0,200.0,180.0,180.0,480.0,1000.0,1480.0,2330.0,0.64,,
24841,VA,22308,940.0,400.0,380.0,410.0,1800.0,2020.0,3820.0,5950.0,0.64,38.7316,-77.0604
16029,NJ,7078,1240.0,360.0,280.0,230.0,630.0,3180.0,3810.0,5920.0,0.64,,
5021,GA,31411,590.0,340.0,390.0,390.0,1430.0,1430.0,2860.0,4570.0,0.63,31.9268,-81.0381
25817,WA,98075,1990.0,860.0,670.0,530.0,2010.0,4810.0,6820.0,10870.0,0.63,47.5857,-122.0345
17069,NY,11109,300.0,260.0,350.0,350.0,1060.0,1090.0,2150.0,3410.0,0.63,40.7454,-73.9575
2330,CA,94563,1510.0,710.0,590.0,560.0,1690.0,4170.0,5860.0,9230.0,0.63,37.8787,-122.1728
6315,IL,60043,250.0,70.0,50.0,40.0,120.0,570.0,690.0,1100.0,0.63,42.0884,-87.7165
2228,CA,94027,580.0,240.0,200.0,150.0,450.0,1580.0,2030.0,3200.0,0.63,37.4563,-122.2002
1461,CA,90067,490.0,320.0,270.0,220.0,560.0,1690.0,2250.0,3550.0,0.63,34.0551,-118.4095
21594,PA,19477,30.0,0.0,20.0,0.0,40.0,40.0,80.0,130.0,0.62,40.1839,-75.2327
